dataset	relpath	url	bytes	md5	drop
karlsson2013	PRJEB1786/ERR260244/ERR260244_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260244/ERR260244_1.fastq.gz	849807106	5b15841954ed053c139a0befde161763	1
karlsson2013	PRJEB1786/ERR260244/ERR260244_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260244/ERR260244_2.fastq.gz	848947238	2b36be871d247a8d6000f67fe0b4faf8	1
karlsson2013	PRJEB1786/ERR260245/ERR260245_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260245/ERR260245_1.fastq.gz	1200054686	77b82cf9d39d121d9a607993a100f56f	1
karlsson2013	PRJEB1786/ERR260245/ERR260245_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260245/ERR260245_2.fastq.gz	1196703196	c71cdc8b3b5050ecf0d000a7b53f74b0	1
karlsson2013	PRJEB1786/ERR260255/ERR260255_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260255/ERR260255_1.fastq.gz	906129028	690b533abd68171d5a52f71151fcc2e4	1
karlsson2013	PRJEB1786/ERR260255/ERR260255_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260255/ERR260255_2.fastq.gz	905434243	904c185306c44a0e01ada0250ed564dd	1
karlsson2013	PRJEB1786/ERR260263/ERR260263_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260263/ERR260263_1.fastq.gz	2031928239	9403204db559b543c71de3d8a99f4a76	1
karlsson2013	PRJEB1786/ERR260263/ERR260263_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260263/ERR260263_2.fastq.gz	2041466033	90a0a1a7e5c00131ca98e42eccc1bfb0	1
karlsson2013	PRJEB1786/ERR260266/ERR260266_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260266/ERR260266_1.fastq.gz	1741593460	1748b84d02716de33df1a3b427281e04	1
karlsson2013	PRJEB1786/ERR260266/ERR260266_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260266/ERR260266_2.fastq.gz	1746692841	efade44d944e1464e555309e45ee3aff	1
karlsson2013	PRJEB1786/ERR260268/ERR260268_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260268/ERR260268_1.fastq.gz	335043432	9c29df1152cb087656c1df12a2083215	1
karlsson2013	PRJEB1786/ERR260268/ERR260268_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260268/ERR260268_2.fastq.gz	325421360	026c4183e386a3f6d5b0954ca18b38aa	1
karlsson2013	PRJEB1786/ERR260132/ERR260132_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_1.fastq.gz	1201829993	7f6411912cc96154f46bf246e36969d4	1
karlsson2013	PRJEB1786/ERR260132/ERR260132_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_2.fastq.gz	1210188137	2bc901aaae9d08e078bdaf44bee36969	1
karlsson2013	PRJEB1786/ERR260135/ERR260135_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_1.fastq.gz	6131473456	7712aab20fb52aa6e2e8a94a68d8185d	1
karlsson2013	PRJEB1786/ERR260135/ERR260135_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_2.fastq.gz	5981484937	76a9f1bf2b2c22628a25502fcbdc645a	1
